City,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income
Lausanne,3.15,12.59,8.4,1.32,1714,4266.11
Zurich,3.28,12.59,8.4,1.31,2378.61,4197.55
Geneva,2.8,12.94,10.49,1.28,2607.95,3917.72
Basel,3.5,11.89,7.35,1.25,1649.29,3847.76
Perth,2.87,11.43,10.08,0.97,2083.14,3358.55
Nashville,3.84,12,13.5,0.65,2257.14,3089.75
Canberra,2.35,11.42,10.08,0.99,1984.74,3023.91
Bergen,3.92,12.32,12.32,1.57,1725.37,3002.59
Luxembourg,2.13,7.25,4.26,1.15,1704.96,2983.69
Stavanger,4.48,10.65,13.44,1.68,2240.74,2957.77
Adelaide,2.49,11.42,10.08,0.95,1382.26,2911.69
Ottawa,2.39,7.65,9.56,0.8,1020.02,2900.68
Trondheim,3.81,12.32,13.44,1.57,1680.55,2800.92
Oslo,3.36,11.2,12.32,1.57,2016.66,2800.92
Doha,2.78,6.28,14.32,0.18,2221.74,2775.58
Sydney,2.35,12.1,10.75,1,2788.71,2755.12
Cambridge,1.99,8.22,7.97,1.39,1345.2,2730.26
Gold Coast,2.69,10.08,8.06,0.98,1310.36,2687.92
San Francisco,2.29,7.85,9.48,0.69,2484.32,2667.38
Melbourne,2.35,12.1,10.08,0.95,2073.06,2623.41
Brisbane,2.69,10.08,10.08,0.99,2351.93,2603.92
New York,2.58,8.5,9.81,0.69,3268.84,2530.09
Washington,2.37,7.85,7.85,0.69,2451.63,2484.32
Boston,2.62,7.85,7.85,0.65,2288.19,2451.63
Darwin,3.36,10.08,10.08,1.04,2015.94,2435.93
Newark,2.45,7.19,10.46,0.67,980.65,2402.6
The Hague,2.26,8.1,4.05,1.52,1363.97,2386.95
Seattle,2.45,7.11,7.52,0.66,1634.42,2373.83
San Diego,2.45,6.54,6.54,0.67,1569.05,2341.8
Dubai,2.62,6.23,12.77,0.31,1981.57,2313.91
Gothenburg,3.3,10.76,8.01,1.44,1001.25,2302.88
Dusseldorf,2.13,8.31,4.47,1.28,1193.48,2301.7
Minneapolis,2.62,6.54,9.81,0.64,980.65,2295.38
Atlanta,2.21,6.37,6.53,0.61,1046.03,2288.19
Baltimore,2.12,6.54,8.17,0.65,1372.91,2284.92
Calgary,2.55,8.29,9.56,0.74,1115.65,2231.29
Hong Kong,2.78,5.89,10.1,1.52,5052.31,2210.39
Honolulu,2.62,6.54,7.85,0.74,1830.55,2204.51
Edmonton,2.55,8.29,11.16,0.69,1147.52,2199.42
Philadelphia,2.29,7.19,7.85,0.65,1601.73,2185.88
Las Vegas,2.12,7.85,7.85,0.65,604.74,2158.09
Auckland,2.2,8.82,8.27,1.18,1432.98,2149.47
Saint Louis,1.96,6.54,6.54,0.61,980.65,2144.36
Abu Dhabi,2.67,6.23,13.73,0.3,1779.93,2135.92
Houston,2.29,6.54,6.53,0.63,1340.23,2124.75
Dallas,2.62,6.54,6.54,0.59,1405.6,2116.9
Chicago,2.45,7.85,7.85,0.71,1634.42,2111.35
Austin,2.29,5.56,7.85,0.61,1372.91,2105.14
Dresden,2.13,6.82,3.84,1.33,1193.48,2088.58
Los Angeles,2.62,7.52,7.85,0.69,1732.49,2085.69
Charlotte,2.15,5.23,7.19,0.6,915.28,2073.1
Tokyo,2.3,11.8,8.52,0.98,1967.31,2065.67
Phoenix,2.7,6.21,6.37,0.62,817.21,2060.68
Indianapolis,2.6,5.56,5.88,0.65,817.21,2056.76
Miami,2.62,6.54,9.81,0.65,1961.31,2052.83
Paris,2.56,8.95,5.11,1.32,2131.21,2045.96
Munich,2.3,7.67,5.11,1.36,1278.72,2045.96
Tampa,2.45,6.21,9.81,0.6,915.28,2033.87
Orlando,1.96,5.88,7.52,0.66,1176.78,2013.61
Toulouse,1.92,7.25,4.26,1.28,1022.98,2011.86
Stockholm,3,11.01,7.91,1.46,1501.88,2002.51
Copenhagen,3.66,9.15,5.72,1.4,1658.01,2001.04
London,2.49,11.26,6.98,1.4,2590.76,1992.89
Edinburgh,2.09,7.97,6.73,1.35,996.45,1992.89
Leeds,1.99,7.6,6.33,1.38,797.16,1992.89
Portland,2.29,6.54,7.85,0.68,1046.03,1982.23
San Antonio,2.62,5.23,7.52,0.59,980.65,1964.58
Helsinki,2.57,10.23,8.52,1.43,1534.47,1960.71
Stuttgart,2.13,6.82,4.26,1.32,980.35,1943.66
New Orleans,2.04,7.85,9.81,0.65,1242.16,1920.77
Dublin,2.39,8.31,8.52,1.39,1278.72,1918.09
Regina,2.65,7.65,9.56,0.8,956.27,1912.54
Toronto,2.23,8.29,9.5,0.83,1593.78,1912.54
Asheville,1.8,5.88,7.85,0.64,1225.82,1898.54
Detroit,1.96,5.56,7.85,0.67,632.19,1895.93
Galway,2.13,7.67,6.39,1.39,852.48,1875.46
Frankfurt,2.13,7.67,4.07,1.36,1022.98,1875.46
Brussels,2.13,7.67,5.11,1.36,1193.48,1875.46
Venice,1.28,6.82,3.41,1.4,1278.72,1875.46
Malmo,2.9,10.01,8.51,1.4,1101.38,1802.26
Leicester,2.49,7.22,5.27,1.43,787.19,1793.6
Nottingham,2.49,7.97,4.98,1.37,797.16,1793.6
Strasbourg,2.13,7.25,4.26,1.32,937.73,1790.21
Montreal,1.91,7.65,9.56,0.89,956.27,1785.03
Berlin,1.88,6.82,3.84,1.36,916.42,1772.57
Wellington,2.2,8.82,8.27,1.17,1515.65,1763.67
Amsterdam,2.09,8.52,4.26,1.45,1513.16,1747.59
Hamburg,1.83,9.38,3.41,1.36,1534.47,1747.59
Aberdeen,1.99,6.98,5.98,1.37,1195.74,1743.78
Lyon,2.13,7.67,4.69,1.19,895.11,1704.96
Rotterdam,2.09,8.1,3.84,1.46,1278.72,1704.96
Cologne,1.92,7.25,3.62,1.32,980.35,1704.96
Oxford,2.49,7.97,7.97,1.36,1494.67,1693.96
Vancouver,2.55,7.97,12.75,0.89,1848.79,1657.53
Victoria,2.39,7.65,9.56,0.83,1083.77,1657.53
Glasgow,2.52,9,6,1.07,1126.75,1654.76
Cork,2.13,7.08,8.52,1.36,1022.98,1633.36
Nice,2.13,8.1,5.11,1.3,1278.72,1624.66
Vienna,2.13,7.67,4.26,1.25,1248.9,1619.72
Aachen,2.05,6.88,4.26,1.33,767.23,1619.72
Marbella,1.7,5.88,4.48,1.17,852.48,1619.72
Utrecht,2.13,6.82,4.26,1.45,1193.48,1611.19
Muscat,1.7,5.1,5.46,0.2,1061.97,1609.09
Brighton,2.49,14.95,4.97,1.37,1295.38,1594.31
Hamilton,1.91,7.01,8.29,0.8,605.64,1593.78
Singapore,2.64,5.27,15.82,1.11,3164.42,1582.21
Birmingham,2.29,6.98,4.98,1.37,996.45,1554.46
Rochester,1.96,6.54,11.44,0.68,719.15,1536.36
Liverpool,1.99,7.67,5.98,1.35,896.8,1534.47
Bristol,2.49,8.22,6.98,1.36,1619.23,1507.13
Belfast,2.19,5.98,6.22,1.39,807.12,1494.67
Milan,1.19,6.82,4.26,1.53,1704.96,1491.84
Christchurch,2.48,8.82,7.72,1.18,881.83,1460.54
Seoul,2.59,5.25,11.67,1.17,1458.2,1458.2
Riyadh,1.69,79.49,17.43,0.08,610.14,1394.6
Manchester,2.4,8,6,1.15,1200,1388.55
Sliema,1.7,7.25,2.98,1.2,596.74,1363.97
Fortaleza,1.46,5.2,5.85,0.88,650.26,1307.54
Madrid,1.7,6.82,3.92,1.24,1193.48,1278.72
Florence,1.02,6.82,4.26,1.53,1278.72,1278.72
Rome,1.02,6.82,4.26,1.53,2131.21,1270.2
Marseille,1.7,8.44,4.26,1.32,1022.98,1236.1
Cape Town,1.27,3.18,3.53,0.82,811.48,1199.58
