"","Brand","Variety","Style","Country","Stars","Top.Ten","perc_salt"
"1","New Touch","T's Restaurant Tantanmen ","Cup","Japan",3.75,"",19.5418286213569
"2","Just Way","Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles","Pack","Taiwan",1,"",13.0273203994899
"3","Nissin","Cup Noodles Chicken Vegetable","Cup","USA",2.25,"",17.5438556845639
"4","Wei Lih","GGE Ramen Snack Tomato Flavor","Pack","Taiwan",2.75,"",18.898819829298
"5","Ching's Secret","Singapore Curry","Pack","India",3.75,"",20.7207059105885
"6","Samyang Foods","Kimchi song Song Ramen","Pack","South Korea",4.75,"",19.9937339247809
"7","Acecook","Spice Deli Tantan Men With Cilantro","Cup","Japan",4,"",20.1177399581918
"8","Ikeda Shoku","Nabeyaki Kitsune Udon","Tray","Japan",3.75,"",19.4613150377289
"9","Ripe'n'Dry","Hokkaido Soy Sauce Ramen","Pack","Japan",0.25,"",8.56319337042877
"10","KOKA","The Original Spicy Stir-Fried Noodles","Pack","Singapore",2.5,"",18.3706331869784
"11","Tao Kae Noi","Creamy tom Yum Kung Flavour","Pack","Thailand",5,"",17.5744121756542
"12","Yamachan","Yokohama Tonkotsu Shoyu","Pack","USA",5,"",16.943348906151
"13","Nongshim","Mr. Bibim Stir-Fried Kimchi Flavor","Pack","South Korea",4.25,"",17.920907642223
"14","Nissin","Deka Buto Kimchi Pork Flavor","Bowl","Japan",4.5,"",17.5663605414636
"15","Nissin","Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle","Pack","Hong Kong",5,"",16.7544616826564
"16","KOKA","Mushroom Flavour Instant Noodles","Cup","Singapore",3.5,"",19.7527674083457
"17","TRDP","Mario Masala Noodles","Pack","India",3.75,"",20.8458696804726
"18","Yamachan","Tokyo Shoyu Ramen","Pack","USA",5,"",17.1335982453646
"19","Binh Tay","Mi Hai Cua","Pack","Vietnam",4,"",18.6176325978132
"20","Paldo","Premium Gomtang","Pack","South Korea",4,"",20.6130157542264
"21","Nissin","Cup Noodles Laksa Flavour","Cup","Hong Kong",4.25,"",21.0483016990691
"22","Jackpot Teriyaki","Beef Ramen","Pack","USA",5,"",17.24516114048
"23","KOKA","Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor","Cup","Singapore",5,"",18.1991081730208
"24","Yamachan","Sapporo Miso Ramen","Pack","USA",4.75,"",20.0645566049487
"25","Ching's Secret","Hot Garlic Instant Noodles","Pack","India",4.25,"",19.7600594979795
"26","Samyang Foods","Song Song Kimchi Big Bowl","Bowl","South Korea",4.25,"",20.8932578003086
"27","Yum-Mie","Instant Noodles Beef In Light Soup Flavour","Pack","Ghana",3.5,"",19.1168419340837
"28","Nissin","Hakata Ramen Noodle White Tonkotsu","Bowl","Japan",4.75,"",18.9508057465795
"29","MyKuali","Penang White Curry Rice Vermicelli Soup","Bowl","Malaysia",5,"",19.0779259838032
"30","KOKA","Signature Tom Yum Flavor Instant Noodles","Pack","Singapore",4,"",21.3779599155871
"31","Samyang Foods","Paegaejang Ramen","Pack","South Korea",5,"",18.4139288724391
"32","Nissin","Gekikara Ramen Extra Hot Ramen Goreng","Pack","Indonesia",4.5,"",18.9170551682061
"33","Ottogi","Plain Instant Noodle No Soup Included","Pack","South Korea",NA,"",10
"34","Sichuan Guangyou","Chongqing Spicy Hot Noodles","Bowl","China",4,"",20.9597861214653
"35","New Touch","Sugo-Men Kyoto Backfat Shoyu Ramen","Bowl","Japan",3.75,"",19.0855170840478
"36","KOKA","Instant Noodles Laksa Singapura Flavour","Pack","Singapore",5,"",17.5867431453896
"37","Lipton","Cup-A-Soup Chicken Noodle With White Meat Instant Soup","Box","USA",1.5,"",13.944900131813
"38","KOKA","Curry Flavour Instant Noodles","Cup","Singapore",5,"",17.88098494953
"39","Acecook","Super Cup Yochan Ika Yakisoba","Tray","Japan",1.5,"",14.4228700146355
"40","Nissin","Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup","Cup","USA",5,"",19.274574242869
"41","Wei Lih","GGE Noodle Snack Wheat Crackers Mexican Spicy","Pack","Taiwan",3.25,"",19.9889144493746
"42","Nissin","Demae Iccho Tonkotsu Flavour Instant Noodle","Cup","Hong Kong",3.75,"",22.1447406533773
"43","Nissin","Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup","Cup","USA",5,"",18.9882547902716
"44","Nissin","Cup NoodlesTom Yam Seafood (More Shrimptacular)","Cup","Singapore",5,"",17.9650351028097
"45","Lele","Instant Noodles Beef","Pack","Ghana",3.5,"",19.8432802375159
"46","Nissin","Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup","Cup","USA",5,"",19.1628982510687
"47","Fujiwara","Hokkaido Hakodate Shoyu Ramen","Pack","Japan",4,"",19.6308704952317
"48","Nongshim","Shin Ramyun Black","Pack","South Korea",5,"",17.7953130056275
"49","Nissin","Nippon Onomichi Ramen","Bowl","Japan",4.75,"",19.4104042453184
"50","Uni-President","Pickled Cabbage Beef","Pack","China",4.25,"",21.0599393593317
"51","Ottogi","Ppushu Ppushu Noodle Snack Honey Butter ","Pack","South Korea",2,"",16.1630555665198
"52","Maruchan","Gotsumori Chanpon Ramen","Bowl","Japan",4.5,"",21.919727304608
"53","Prima","Juzz's Mee Creamy Chicken Flavour (Export Version)","Pack","Singapore",5,"",18.8242361078335
"54","Uni-President","Mushroom Flavor","Pack","Vietnam",0,"",7.26730837719369
"55","Samyang Foods","Jjamppong Big Bowl","Bowl","South Korea",4.5,"",17.7625280980373
